timestep,avg_yield_shared,avg_yield_individual,avg_profit_shared,avg_profit_individual,drought_zones,flood_zones
1,8.655512751121828,8.56846761674883,161747.60324748882,104878.43851836272,1,1
2,8.473428715964415,8.612268486675815,152379.49797102498,94039.79794669888,0,0
3,8.165178261690167,8.127636512493924,141046.13889405353,92417.87014561193,0,1
4,8.445997982084405,8.418930368660522,150436.98383080692,88843.81640756055,0,0
5,6.145610475723802,5.977050330602806,121914.37455609755,64730.16687005897,1,1
6,8.605695284016246,8.554556985232297,150920.96289842261,89920.52767460521,2,0
7,8.248564196044663,8.307225770512009,144539.03771024832,88698.98724692034,0,1
8,8.810585923787757,8.993017845108527,157626.69629721082,103162.0475165634,0,0
9,7.134491976863756,7.2787460369221915,111335.72784581242,66411.05186490707,0,1
10,7.354001554688662,7.128636357851062,125984.22739680916,75021.27113181069,1,2
